Korean,English
내가,I
그,that
난,I
내,my
안,not
수,Number
이,this
네,Yeah
거야,Will
좀,A little
그래,yes
있어,there is
왜,Why
더,more
그리고,And
우리,Us
다,all
무슨,what
한,one
하지만,However
잘,well
어떻게,how
할,will do
그냥,just
정말,really
그럼,then
것,thing
게,crab
있어요,there is
있는,there is
해,sun
여기,Here
넌,You
제가,I
날,me
우리가,we
건,case
전,jeon
이제,now
지금,now
그게,that
걸,girl
거,thing
아니,no
네가,you
없어,no
돼,Set
저,I
우린,we
제,my
못,pond
좋아,great
당신이,You
다른,different
나,me
그런,then
그건,that
너무,Too
그래서,therefore
그렇게,like that
다시,again
이건,This
이런,this
나도,me too
모든,every
당신,you
거예요,Will
당신은,you are
아,ah
좋은,good
오,Five
때,at the time
너,you
하는,doing
하고,do
아냐,no
나는,I am
아니야,no
알아,Know
같이,together
응,yes
이게,this
없어요,do not have
괜찮아,it's okay
오늘,today
말이야,It's a.
줄,line
또,In addition
널,you
누가,Who
어떤,what
아주,very
말,word
아직,yet
안돼,no
진짜,really
모두,all
마,mind
같은,same
여기서,here
어서,hurry
그는,he
위해,for
해요,do
일이,Days
하지,summer solstice
엄마,Mom
바로,Immediately
가,go
근데,however
알고,know
이렇게,like this
빨리,Quickly
있습니다,There is
이거,this
전에,before
어,Huh
아뇨,no
계속,continue
닥터,doctor
얼마나,how much
될,Going
알았어,okay
않아,Not
제발,please
있지,There is
겁니다,You are
어디,where
사람이,People
그가,he
안녕,hi
좋아요,like
같아,same
우리는,we are
그래요,okay
당신을,you
자,ruler
그걸,That's it.
두,two
아니에요,no
있을,There will be
때문에,Because
대해,about
아빠,Dad
몇,some
사람,Person
했어,I did it
뭐야,what
수도,capital
많이,A lot of